response_var,error,r2,rmse,mae,run
AADT_HDV,0.0,0.9969688277183678,133.62219781011123,16.45025959086092,3
AADT_HDV,0.001,0.9966061727551676,140.96121884869106,17.11059628413808,3
AADT_HDV,0.002,0.9968846039507009,135.96566056779602,17.45055405494584,3
AADT_HDV,0.003,0.996525168442063,142.6593675152936,18.40264142299075,3
AADT_HDV,0.004,0.9963360105235723,147.21208297891758,18.648933833840054,3
AADT_HDV,0.005,0.9967599228995855,138.29255409155954,19.00833069819348,3
AADT_HDV,0.006,0.9962136268704446,148.65955604446748,19.71201076857327,3
AADT_HDV,0.007,0.9965170955803374,143.8432943095817,20.168537055240655,3
AADT_HDV,0.008,0.9966711153776752,140.46640790109922,20.633891493970406,3
AADT_HDV,0.009000000000000001,0.9965694365234841,142.27922758474492,21.1453236490212,3
AADT_HDV,0.01,0.9965350862483834,143.3277716169194,21.66196274647799,3
AADT_HDV,0.015,0.996433505458183,145.2034407657159,24.28062975834928,3
AADT_HDV,0.019999999999999997,0.9965054630939802,144.09495551072945,26.791431002246163,3
AADT_HDV,0.024999999999999998,0.9966412979782915,141.00243999109796,29.310326778855707,3
AADT_HDV,0.03,0.9963344969940205,147.23182606530312,32.11458390619246,3
AADT_HDV,0.034999999999999996,0.9962007090629295,149.79018198325963,34.66700230172383,3
AADT_HDV,0.039999999999999994,0.9959943196394082,153.93797142425962,37.24624159004544,3
AADT_HDV,0.045,0.9955581160441419,161.93852607028774,40.10283233027913,3
AADT_HDV,0.049999999999999996,0.9955048819847955,163.0103836548854,42.685978713351474,3
AADT_HDV,0.05499999999999999,0.9955818045694647,160.86147591730705,45.08255309152305,3
AADT_HDV,0.05999999999999999,0.9952783920149781,167.96669352272346,48.01114495140022,3
AADT_HDV,0.06499999999999999,0.9946820785185481,177.89840165179828,50.7759979527595,3
AADT_HDV,0.06999999999999999,0.9940767614505143,186.8144009330331,53.513092868882204,3
AADT_HDV,0.07499999999999998,0.9945449586731294,179.61820193950481,55.66126413088124,3
AADT_HDV,0.07999999999999999,0.9941591463345135,186.6098553198842,58.756334631987606,3
AADT_HDV,0.08499999999999998,0.9934326433915226,197.9143914109383,61.43131177772015,3
AADT_HDV,0.08999999999999998,0.9931595771939502,200.79404078386213,64.33109745073783,3
AADT_HDV,0.09499999999999999,0.9927669983969775,207.11016947810106,66.90871991138656,3
