response_var,error,r2,rmse,mae,run
AADT_MDV,0.0,0.9930035890858967,94.32304548072459,13.181200946944436,4
AADT_MDV,0.001,0.9930429708060531,93.48916071576653,13.482890181295518,4
AADT_MDV,0.002,0.993288413033665,92.49130835475783,13.708641990969422,4
AADT_MDV,0.003,0.9932029235794557,92.9057300941559,14.03884585542351,4
AADT_MDV,0.004,0.9939206432257596,87.93621976163452,14.25757982208538,4
AADT_MDV,0.005,0.9929319686948241,95.28546872486241,14.642133636222594,4
AADT_MDV,0.006,0.9926052728125547,97.68695072517659,15.007237111398018,4
AADT_MDV,0.007,0.9922166731574461,99.89434671804543,15.363243388854581,4
AADT_MDV,0.008,0.9928507568624353,94.80930915157583,15.39493346448385,4
AADT_MDV,0.009000000000000001,0.9931363769360011,93.22964460505902,15.527804368117037,4
AADT_MDV,0.01,0.9925384866412144,97.4525303797974,15.938381859142869,4
AADT_MDV,0.015,0.9936046117422933,90.39205846615123,17.310277886982725,4
AADT_MDV,0.019999999999999997,0.9927794633993161,95.89250747663507,18.834180384922863,4
AADT_MDV,0.024999999999999998,0.9922480401056428,98.91385938483495,20.2480527365722,4
AADT_MDV,0.03,0.9926764219142717,96.36530712152246,21.704298857283902,4
AADT_MDV,0.034999999999999996,0.992243185407695,99.48718175994547,23.131574915743283,4
AADT_MDV,0.039999999999999994,0.9916521423440176,102.62472556487258,24.73472753239261,4
AADT_MDV,0.045,0.9921001086949249,100.25777155786925,26.005781972570368,4
AADT_MDV,0.049999999999999996,0.9916416981801327,103.28277607429483,27.691642377726684,4
AADT_MDV,0.05499999999999999,0.9910787788690754,106.2577079244077,29.135335129043852,4
AADT_MDV,0.05999999999999999,0.9915778860518139,103.70536708295906,30.453409146890316,4
AADT_MDV,0.06499999999999999,0.9904024400635245,110.31266902322848,32.003607189716064,4
AADT_MDV,0.06999999999999999,0.9898116238890691,114.2716414012008,33.61477216931577,4
AADT_MDV,0.07499999999999998,0.9906031884248279,109.27471483436054,35.064344583866614,4
AADT_MDV,0.07999999999999999,0.9902215963200413,111.94031009606455,36.768408818654294,4
AADT_MDV,0.08499999999999998,0.9887924532427579,119.2030184152231,38.308292887369355,4
AADT_MDV,0.08999999999999998,0.9898727001767077,113.31501453598436,39.534792277290784,4
AADT_MDV,0.09499999999999999,0.9895712915558602,115.97475418528958,41.22897144221097,4
